name,seed,free_lift_kg,ascent_cd,burst_diameter_m,chute_cd,wind_scale,burst_alt_m,landing_lat,landing_lon,sample_count
ds6-flight-01,20260921919,1.011919,0.440923,7.752755,1.305020,0.692183,30824.2,23.0506774,78.0952619,8405
ds6-flight-02,20260929838,1.165090,0.527892,6.472669,1.148859,0.955374,27036.9,22.9907289,78.2906690,7834
ds6-flight-03,20260937757,1.090745,0.394036,7.007810,1.108263,1.202474,28706.0,22.9391954,78.4585770,7417
ds6-flight-04,20260945676,0.938195,0.477019,6.853909,1.409187,1.472157,28565.5,22.8071770,78.8884333,8551
ds6-flight-05,20260953595,0.978770,0.509688,5.604888,1.428960,0.608564,24625.3,23.0865948,77.9781446,7919
ds6-flight-06,20260961514,1.158013,0.470702,7.292139,1.039397,0.872547,29355.5,23.0152302,78.2108153,7798
ds6-flight-07,20260969433,1.256337,0.455049,6.773052,1.335394,1.096517,27749.2,22.9613449,78.3864168,7571
ds6-flight-08,20260977352,1.129787,0.425097,7.439383,1.201410,0.783196,29796.5,23.0402532,78.1292465,7799
ds6-flight-09,20260985271,1.282280,0.594596,6.305914,1.250795,1.249193,26327.9,22.9037314,78.5740900,7928
ds6-flight-10,20260993190,1.347038,0.488462,6.248299,1.711158,1.110179,26040.9,22.9546202,78.4083261,7647
ds6-flight-11,20261001109,1.200612,0.514871,8.278952,1.560898,1.152292,31760.6,22.8936692,78.6068590,8837
ds6-flight-12,20261009028,1.022081,0.295726,6.665845,1.260503,0.989097,27866.8,23.0154699,78.2100340,6872
ds6-flight-13,20261016947,0.749425,0.434872,7.576319,1.382698,1.049637,30895.3,22.9117318,78.5480339,9223
ds6-flight-14,20261024866,1.111482,0.356011,6.555220,1.666492,0.831747,27378.4,23.0378014,78.1372397,7425
ds6-flight-15,20261032785,1.059178,0.553716,7.168384,1.609169,1.327702,29204.6,22.8304357,78.8127326,8994
ds6-flight-16,20261040704,1.218095,0.666612,8.009604,1.505762,0.792725,31079.5,22.9896650,78.2941360,9479
ds6-flight-17,20261048623,1.376017,0.411411,7.594068,1.532832,1.065653,29759.7,22.9680889,78.3644431,7615
ds6-flight-18,20261056542,0.839828,0.362980,6.035420,1.463386,0.925496,26306.8,23.0039085,78.2477164,7691
ds6-flight-19,20261064461,0.919606,0.312342,6.916402,1.868132,1.010023,28777.2,22.9747989,78.3425794,7848
ds6-flight-20,20261072380,1.057758,0.388211,7.192408,1.356324,0.907923,29273.5,23.0064358,78.2394793,7763
